FREQ,CURRENCY,CURRENCY_DENOM,EXR_TYPE,EXR_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,COLLECTION,DECIMALS,TITLE,UNIT,UNIT_MULT
M,NOK,EUR,SP00,A,1999-01,8.651225,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,1999-02,8.649650000000003,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,1999-03,8.506478260869565,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,1999-04,8.318572727272725,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,1999-05,8.234819047619046,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,1999-06,8.167590909090906,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,1999-07,8.181054545454545,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,1999-08,8.260204545454547,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,1999-09,8.226954545454547,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,1999-10,8.288452380952382,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,1999-11,8.190659090909092,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,1999-12,8.097704545454546,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2000-01,8.12147619047619,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2000-02,8.099095238095238,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2000-03,8.111021739130436,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2000-04,8.154544444444445,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2000-05,8.199386363636362,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2000-06,8.248954545454547,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2000-07,8.176261904761905,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2000-08,8.095891304347825,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2000-09,8.026642857142857,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2000-10,8.003204545454544,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2000-11,7.995045454545454,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2000-12,8.133447368421052,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2001-01,8.235522727272729,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2001-02,8.212525,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2001-03,8.160045454545454,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2001-04,8.114605263157895,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2001-05,7.992681818181818,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2001-06,7.936023809523809,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2001-07,7.971431818181819,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2001-08,8.05519565217391,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2001-09,7.998525000000001,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2001-10,7.997043478260869,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2001-11,7.922386363636363,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2001-12,7.99113888888889,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2002-01,7.920749999999999,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2002-02,7.785299999999999,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2002-03,7.718275,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2002-04,7.622095238095239,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2002-05,7.520704545454546,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2002-06,7.404299999999999,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2002-07,7.404978260869563,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2002-08,7.428386363636363,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2002-09,7.361928571428571,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2002-10,7.340543478260869,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2002-11,7.319000000000002,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2002-12,7.294770000000002,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2003-01,7.332818181818182,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2003-02,7.543925,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2003-03,7.84497619047619,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2003-04,7.831725,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2003-05,7.871466666666667,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2003-06,8.161880952380953,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2003-07,8.289282608695652,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2003-08,8.255761904761904,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2003-09,8.19515909090909,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2003-10,8.227391304347828,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2003-11,8.196925000000002,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2003-12,8.242090476190475,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2004-01,8.5925,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2004-02,8.77515,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2004-03,8.540673913043479,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2004-04,8.29758,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2004-05,8.207442857142857,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2004-06,8.285636363636364,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2004-07,8.475090909090907,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2004-08,8.331477272727273,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2004-09,8.360386363636364,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2004-10,8.23490476190476,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2004-11,8.141181818181819,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2004-12,8.220739130434783,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2005-01,8.2125,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2005-02,8.3199,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2005-03,8.187990476190475,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2005-04,8.176285714285715,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2005-05,8.081368181818181,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2005-06,7.893159090909091,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2005-07,7.92002380952381,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2005-08,7.916456521739129,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2005-09,7.808659090909091,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2005-10,7.834714285714286,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2005-11,7.829477272727274,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2005-12,7.973714285714286,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2006-01,8.036636363636363,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2006-02,8.059275000000001,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2006-03,7.977478260869566,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2006-04,7.841305555555556,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2006-05,7.798772727272726,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2006-06,7.855877272727275,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2006-07,7.938619047619047,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2006-08,7.99204347826087,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2006-09,8.257166666666668,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2006-10,8.395977272727272,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2006-11,8.24459090909091,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2006-12,8.157473684210528,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2007-01,8.278045454545454,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2007-02,8.087549999999998,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2007-03,8.133954545454547,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2007-04,8.119394736842105,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2007-05,8.13944090909091,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2007-06,8.05895238095238,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2007-07,7.938045454545454,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2007-08,7.9735,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2007-09,7.8306,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2007-10,7.69632608695652,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2007-11,7.95190909090909,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2007-12,8.011726315789472,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2008-01,7.956590909090906,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2008-02,7.947976190476192,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2008-03,7.971742105263158,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2008-04,7.962863636363635,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2008-05,7.864847619047619,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2008-06,7.991547619047618,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2008-07,8.048717391304347,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2008-08,7.972261904761904,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2008-09,8.156636363636364,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2008-10,8.592782608695654,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2008-11,8.8094,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2008-12,9.422785714285714,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2009-01,9.216404761904762,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2009-02,8.783774999999999,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2009-03,8.838818181818182,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2009-04,8.786650000000002,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2009-05,8.794310000000001,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2009-06,8.938840909090906,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2009-07,8.949391304347825,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2009-08,8.660166666666665,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2009-09,8.596386363636363,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2009-10,8.35958181818182,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2009-11,8.414333333333332,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2009-12,8.406636363636364,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2010-01,8.181674999999998,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2010-02,8.097100000000001,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2010-03,8.036934782608697,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2010-04,7.932260000000001,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2010-05,7.890680952380951,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2010-06,7.906204545454546,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2010-07,8.020090909090909,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2010-08,7.932545454545453,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2010-09,7.915636363636366,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2010-10,8.111047619047621,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2010-11,8.14625,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2010-12,7.901999999999999,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2011-01,7.81992857142857,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2011-02,7.820625000000001,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2011-03,7.829478260869565,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2011-04,7.806510526315791,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2011-05,7.838386363636366,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2011-06,7.830209090909091,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2011-07,7.782857142857143,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2011-08,7.788217391304348,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2011-09,7.724295454545454,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2011-10,7.747380952380955,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2011-11,7.786772727272728,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2011-12,7.745142857142857,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2012-01,7.675204545454548,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2012-02,7.552238095238094,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2012-03,7.531477272727273,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2012-04,7.569773684210525,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2012-05,7.565504545454544,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2012-06,7.540142857142857,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2012-07,7.457931818181819,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2012-08,7.323891304347825,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2012-09,7.394449999999999,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2012-10,7.407565217391304,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2012-11,7.337136363636361,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2012-12,7.350331578947369,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2013-01,7.382136363636365,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2013-02,7.423225,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2013-03,7.486325000000001,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2013-04,7.544380952380952,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2013-05,7.558890909090909,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2013-06,7.739375000000001,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2013-07,7.883739130434783,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2013-08,7.938613636363637,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2013-09,7.972523809523811,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2013-10,8.120760869565219,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2013-11,8.205523809523807,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2013-12,8.405325,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2014-01,8.392681818181815,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2014-02,8.356225000000002,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2014-03,8.290642857142856,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2014-04,8.25062,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2014-05,8.151290476190477,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2014-06,8.214890476190478,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2014-07,8.38795652173913,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2014-08,8.252238095238093,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2014-09,8.179772727272727,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2014-10,8.31363043478261,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2014-11,8.4912,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2014-12,8.980219047619048,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2015-01,8.932047619047617,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2015-02,8.618775,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2015-03,8.643409090909092,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2015-04,8.505659999999997,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2015-05,8.410340000000001,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2015-06,8.754977272727272,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2015-07,8.935652173913043,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2015-08,9.181500000000002,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2015-09,9.307499999999997,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2015-10,9.28915909090909,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2015-11,9.257219047619047,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2015-12,9.464159090909094,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2016-01,9.589915000000003,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2016-02,9.56282380952381,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2016-03,9.430033333333334,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2016-04,9.322371428571431,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2016-05,9.303568181818182,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2016-06,9.327781818181819,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2016-07,9.368980952380952,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2016-08,9.302986956521739,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2016-09,9.197077272727272,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2016-10,9.000919047619048,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2016-11,9.080700000000002,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2016-12,9.025180952380952,A,A,4,Norwegian krone/Euro,NOK,0
M,NOK,EUR,SP00,A,2017-01,8.998954545454547,A,A,4,Norwegian krone/Euro,NOK,0
